     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         802.585;           3.495;           3.507;           3.498;           0.002 ( 0.056 %);   2181.249
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          17.225;          11.571;          11.745;          11.580;           0.030 ( 0.260 %);    658.825
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          37.648;           6.947;           8.555;           7.146;           0.376 ( 5.267 %);   1067.659
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   284075691.016;          30.849;          33.756;          31.029;           0.667 ( 2.149 %);    245.877
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          81.663;           3.495;           8.631;           3.748;           0.945 (25.216 %);   2035.639
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         875.547;          11.571;          11.582;          11.573;           0.002 ( 0.019 %);    659.238
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;   130240401.165;           6.946;           7.715;           6.972;           0.133 ( 1.914 %);   1094.350
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   283920020.312;          30.848;          33.988;          30.956;           0.548 ( 1.769 %);    246.456
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          12.726;           3.497;           3.510;           3.501;           0.002 ( 0.061 %);   2179.504
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;      619761.635;          11.571;          11.579;          11.573;           0.002 ( 0.015 %);    659.264
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         133.459;           6.947;           6.959;           6.948;           0.002 ( 0.031 %);   1098.021
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   283764443.440;          30.849;          34.283;          30.966;           0.598 ( 1.933 %);    246.381
