     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  rapi_ite;         10;      10000;       3.853e+20;           8.173;          18.341;          13.619;           2.668 (19.593 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.607e+15;          32.868;          42.006;          36.175;           2.380 ( 6.578 %)
  naif_ite;         10;      10000;       1.505e+14;           6.564;          13.142;           7.548;           1.553 (20.573 %)
  rapi_rec;         10;      10000;       5.323e+19;          16.845;          21.645;          18.230;           1.149 ( 6.304 %)
  rapi_ite;         10;      10000;       3.418e+16;           7.723;          18.245;          10.689;           2.522 (23.596 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.565e+08;          32.881;          44.704;          37.273;           3.636 ( 9.755 %)
  naif_ite;         10;      10000;       2.419e+16;           6.577;          12.036;           8.349;           1.823 (21.834 %)
  rapi_rec;         10;      10000;       3.757e+09;          16.843;          26.930;          19.647;           2.137 (10.876 %)
  rapi_ite;         10;      10000;       1.652e+14;           7.721;          13.482;           8.885;           1.545 (17.388 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.500e+14;          32.541;          45.425;          36.671;           2.956 ( 8.061 %)
  naif_ite;         10;      10000;       5.225e+14;           6.567;          12.858;           9.238;           1.894 (20.500 %)
  rapi_rec;         10;      10000;       1.241e+16;          16.892;          33.996;          20.082;           3.328 (16.570 %)
  rapi_ite;         10;      10000;       5.385e+15;           7.721;          13.479;           9.267;           1.634 (17.632 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.773e+19;          33.212;          53.219;          37.808;           4.291 (11.349 %)
  naif_ite;         10;      10000;       4.647e+11;      -99992.364;          14.341;       -3020.939;       17408.076 (-576.247 %)
  rapi_rec;         10;      10000;       1.947e+09;          16.889;          25.151;          18.995;           2.156 (11.350 %)
  rapi_ite;         10;      10000;       5.601e+13;           7.720;          18.566;           9.632;           2.701 (28.044 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.269e+08;          36.675;          58.041;          46.739;           5.786 (12.380 %)
  naif_ite;         10;      10000;       2.555e+10;           8.135;          13.247;          10.540;           1.329 (12.609 %)
  rapi_rec;         10;      10000;       2.408e+13;          18.598;          27.277;          23.238;           2.192 ( 9.433 %)
  rapi_ite;         10;      10000;       3.765e+10;           7.756;          24.418;          11.546;           4.377 (37.908 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.278e+14;          32.937;          59.693;          43.920;           8.411 (19.151 %)
  naif_ite;         10;      10000;       3.374e+14;           7.932;          19.870;          12.636;           3.242 (25.653 %)
  rapi_rec;         10;      10000;       3.163e+15;          17.264;          44.227;          26.197;           7.379 (28.168 %)
  rapi_ite;         10;      10000;       6.885e+12;           7.721;          15.772;           8.303;           1.714 (20.637 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.817e+15;          32.854;          46.437;          34.890;           3.237 ( 9.278 %)
  naif_ite;         10;      10000;       2.100e+14;           6.564;          12.156;           7.396;           1.193 (16.128 %)
  rapi_rec;         10;      10000;       2.661e+19;          17.070;          25.859;          18.853;           2.372 (12.582 %)
  rapi_ite;         10;      10000;       2.072e+11;           7.815;           9.668;           8.564;           0.582 ( 6.799 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.428e+17;          32.340;          40.952;          33.870;           1.503 ( 4.439 %)
  naif_ite;         10;      10000;       4.646e+21;           6.564;          11.764;           7.838;           1.403 (17.901 %)
  rapi_rec;         10;      10000;       1.139e+11;          17.156;          31.634;          19.718;           3.229 (16.376 %)
  rapi_ite;         10;      10000;       1.102e+11;           7.725;          11.291;           8.570;           0.911 (10.626 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.504e+18;          32.008;          48.498;          35.421;           4.052 (11.438 %)
  naif_ite;         10;      10000;       1.258e+16;           6.564;           7.981;           6.748;           0.364 ( 5.388 %)
  rapi_rec;         10;      10000;       2.015e+17;          16.974;          24.430;          18.476;           1.852 (10.022 %)
  rapi_ite;         10;      10000;       5.195e+12;           7.725;          17.938;           9.949;           2.546 (25.592 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.342e+21;          32.008;          47.818;          35.339;           4.282 (12.116 %)
  naif_ite;         10;      10000;       3.069e+14;           6.563;           7.547;           6.682;           0.289 ( 4.326 %)
  rapi_rec;         10;      10000;       4.120e+13;          16.873;          17.557;          17.063;           0.177 ( 1.038 %)
  rapi_ite;         10;      10000;       5.860e+16;           7.724;          18.139;          10.349;           2.758 (26.644 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.204e+10;          32.166;          43.817;          34.958;           3.057 ( 8.746 %)
  naif_ite;         10;      10000;       1.049e+11;           6.562;           9.673;           7.117;           0.755 (10.607 %)
  rapi_rec;         10;      10000;       4.192e+22;          17.131;          21.892;          18.252;           1.204 ( 6.599 %)
  rapi_ite;         10;      10000;       8.655e+15;           7.721;           9.591;           8.357;           0.467 ( 5.594 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.875e+14;          32.544;          41.528;          34.615;           2.325 ( 6.717 %)
  naif_ite;         10;      10000;       1.971e+26;           6.565;           8.812;           7.114;           0.527 ( 7.408 %)
  rapi_rec;         10;      10000;       2.532e+11;          16.587;          19.561;          17.311;           0.941 ( 5.438 %)
  rapi_ite;         10;      10000;       3.925e+21;           7.723;           8.298;           7.963;           0.161 ( 2.018 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.740e+22;          32.247;          41.422;          34.342;           2.108 ( 6.137 %)
  naif_ite;         10;      10000;       5.940e+29;           6.564;          10.459;           7.016;           0.711 (10.134 %)
  rapi_rec;         10;      10000;       2.244e+10;          17.072;          25.607;          19.020;           2.080 (10.935 %)
  rapi_ite;         10;      10000;       2.975e+22;           7.722;          13.094;           8.408;           1.079 (12.838 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.724e+09;          32.148;          47.411;          36.616;           4.411 (12.047 %)
  naif_ite;         10;      10000;       1.827e+17;           6.564;           6.733;           6.571;           0.029 ( 0.443 %)
  rapi_rec;         10;      10000;       5.473e+15;          16.588;          29.003;          18.478;           2.956 (15.997 %)
  rapi_ite;         10;      10000;       4.163e+30;           7.721;          11.401;           8.122;           0.877 (10.793 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.211e+17;          32.868;          47.415;          35.840;           3.860 (10.770 %)
  naif_ite;         10;      10000;       1.265e+20;           6.564;           8.690;           6.706;           0.455 ( 6.781 %)
  rapi_rec;         10;      10000;       1.508e+14;          16.842;          17.551;          17.027;           0.177 ( 1.040 %)
  rapi_ite;         10;      10000;       3.633e+15;           7.721;          12.927;           8.716;           1.592 (18.268 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.078e+15;          32.410;          46.137;          34.986;           3.809 (10.886 %)
  naif_ite;         10;      10000;       2.544e+22;           6.563;           8.032;           6.673;           0.299 ( 4.487 %)
  rapi_rec;         10;      10000;       1.536e+21;          16.902;          26.243;          18.499;           1.907 (10.306 %)
  rapi_ite;         10;      10000;       4.815e+11;           7.719;           8.386;           7.812;           0.199 ( 2.549 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.940e+21;          32.463;          38.591;          33.909;           1.319 ( 3.891 %)
  naif_ite;         10;      10000;       3.225e+19;           6.564;          12.236;           8.360;           1.750 (20.930 %)
  rapi_rec;         10;      10000;       4.275e+11;          16.973;          26.162;          19.255;           2.648 (13.752 %)
  rapi_ite;         10;      10000;       1.043e+10;           7.721;           8.995;           7.855;           0.305 ( 3.888 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.716e+13;          32.008;          41.355;          35.225;           2.810 ( 7.976 %)
  naif_ite;         10;      10000;       1.061e+27;           6.563;           8.294;           6.969;           0.440 ( 6.310 %)
  rapi_rec;         10;      10000;       2.371e+13;          17.091;          24.400;          19.208;           1.970 (10.256 %)
  rapi_ite;         10;      10000;       1.024e+20;           7.809;          17.817;           9.161;           2.202 (24.038 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.346e+21;          32.189;          44.658;          35.115;           3.520 (10.023 %)
  naif_ite;         10;      10000;       4.692e+09;           6.563;           9.741;           7.161;           0.688 ( 9.610 %)
  rapi_rec;         10;      10000;       1.050e+12;          16.971;          27.045;          18.751;           2.402 (12.811 %)
  rapi_ite;         10;      10000;       5.280e+13;           7.810;          12.019;           8.771;           1.026 (11.702 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.180e+16;          32.404;          46.317;          34.468;           2.640 ( 7.660 %)
  naif_ite;         10;      10000;       9.240e+15;           6.565;           8.239;           7.193;           0.451 ( 6.270 %)
  rapi_rec;         10;      10000;       6.063e+18;          16.987;          18.625;          17.638;           0.434 ( 2.462 %)
  rapi_ite;         10;      10000;       2.851e+14;           7.724;          14.921;           9.266;           1.754 (18.929 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.213e+14;          32.008;          42.961;          34.443;           2.573 ( 7.472 %)
  naif_ite;         10;      10000;       1.280e+08;           6.564;          14.720;           8.443;           2.192 (25.958 %)
  rapi_rec;         10;      10000;       8.846e+10;          16.851;          22.244;          18.067;           0.971 ( 5.373 %)
  rapi_ite;         10;      10000;       5.300e+11;           7.721;          10.131;           8.431;           0.696 ( 8.255 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.461e+16;          32.050;          46.686;          35.182;           3.457 ( 9.827 %)
  naif_ite;         10;      10000;       2.746e+15;           6.564;          13.584;           8.494;           2.017 (23.744 %)
  rapi_rec;         10;      10000;       1.432e+35;          16.973;          20.767;          17.791;           0.832 ( 4.674 %)
  rapi_ite;         10;      10000;       2.225e+16;           7.722;          10.759;           8.629;           0.722 ( 8.369 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.547e+07;          32.008;          50.403;          35.449;           4.322 (12.191 %)
  naif_ite;         10;      10000;       7.689e+11;           6.564;           7.516;           6.664;           0.211 ( 3.159 %)
  rapi_rec;         10;      10000;       1.680e+14;          16.846;          25.487;          18.621;           2.469 (13.258 %)
  rapi_ite;         10;      10000;       1.274e+11;           7.719;          13.557;           8.130;           0.998 (12.280 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.350e+13;          32.009;          44.442;          35.222;           3.528 (10.017 %)
  naif_ite;         10;      10000;       5.193e+20;           6.563;           8.029;           6.898;           0.407 ( 5.895 %)
  rapi_rec;         10;      10000;       4.560e+08;          17.086;          23.085;          18.496;           1.541 ( 8.332 %)
  rapi_ite;         10;      10000;       1.550e+16;           7.722;          11.975;           8.459;           0.986 (11.660 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.448e+19;          32.162;          42.209;          35.219;           2.878 ( 8.172 %)
  naif_ite;         10;      10000;       1.174e+16;           6.564;          13.102;           7.273;           1.495 (20.549 %)
  rapi_rec;         10;      10000;       4.393e+07;          16.843;          17.554;          17.052;           0.194 ( 1.140 %)
  rapi_ite;         10;      10000;       3.790e+11;           7.719;           8.443;           7.787;           0.152 ( 1.958 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.204e+13;          32.903;          49.057;          37.570;           4.165 (11.086 %)
  naif_ite;         10;      10000;       1.165e+24;           6.566;          15.395;          10.394;           1.925 (18.519 %)
  rapi_rec;         10;      10000;       1.108e+13;          17.235;          32.368;          22.388;           3.162 (14.125 %)
  rapi_ite;         10;      10000;       5.386e+18;           9.197;          17.403;          13.537;           2.355 (17.399 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.078e+10;          32.238;          49.607;          35.129;           3.741 (10.650 %)
  naif_ite;         10;      10000;       5.070e+14;           6.563;          11.825;           7.924;           1.480 (18.679 %)
  rapi_rec;         10;      10000;       4.582e+36;          17.043;          19.527;          17.829;           0.565 ( 3.169 %)
  rapi_ite;         10;      10000;       2.838e+12;           7.724;          12.101;           8.521;           1.019 (11.953 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.108e+18;          32.007;          39.737;          33.815;           2.008 ( 5.939 %)
  naif_ite;         10;      10000;       4.683e+13;           6.563;          12.164;           7.414;           1.227 (16.547 %)
  rapi_rec;         10;      10000;       1.063e+13;          16.972;          27.970;          19.060;           3.084 (16.180 %)
  rapi_ite;         10;      10000;       5.645e+11;           7.846;           9.921;           8.547;           0.595 ( 6.966 %)
