     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.756e+18;           6.177;           6.485;           6.192;           0.056 ( 0.907 %)
  naif_ite;         10;      10000;       2.177e+15;           5.408;          14.244;           8.479;           2.427 (28.619 %)
  rapi_rec;         10;      10000;       1.062e+15;          13.502;          15.616;          14.985;           0.510 ( 3.402 %)
  rapi_ite;         10;      10000;       2.495e+10;           7.335;           9.373;           7.566;           0.523 ( 6.912 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.611e+13;           7.341;          15.841;          11.488;           2.142 (18.642 %)
  naif_ite;         10;      10000;       1.370e+12;           5.795;          13.582;           8.914;           2.282 (25.604 %)
  rapi_rec;         10;      10000;       8.823e+10;          13.572;          18.531;          15.650;           1.172 ( 7.486 %)
  rapi_ite;         10;      10000;       5.346e+10;           7.191;          12.194;           8.884;           1.576 (17.737 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.645e+10;           6.177;           9.556;           6.362;           0.724 (11.373 %)
  naif_ite;         10;      10000;       1.565e+21;           5.792;          12.493;           6.283;           1.278 (20.332 %)
  rapi_rec;         10;      10000;       3.242e+18;          13.986;          15.819;          15.280;           0.312 ( 2.042 %)
  rapi_ite;         10;      10000;       6.561e+11;           7.334;          12.651;           9.266;           1.585 (17.102 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.444e+15;           6.177;           8.203;           6.410;           0.580 ( 9.049 %)
  naif_ite;         10;      10000;       3.004e+16;           5.407;           9.661;           5.958;           0.790 (13.265 %)
  rapi_rec;         10;      10000;       1.625e+12;          14.389;          21.443;          16.492;           2.152 (13.050 %)
  rapi_ite;         10;      10000;       1.096e+27;           7.332;          12.120;           8.351;           1.177 (14.094 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.040e+21;           6.178;           7.414;           6.380;           0.404 ( 6.339 %)
  naif_ite;         10;      10000;       4.513e+23;           5.412;          12.293;           6.201;           1.168 (18.831 %)
  rapi_rec;         10;      10000;       1.445e+09;          14.396;          24.372;          16.844;           2.522 (14.973 %)
  rapi_ite;         10;      10000;       6.829e+11;           7.334;           7.617;           7.345;           0.049 ( 0.664 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.154e+23;           6.176;           6.210;           6.179;           0.006 ( 0.091 %)
  naif_ite;         10;      10000;       2.586e+22;           5.792;          14.459;           7.826;           2.344 (29.945 %)
  rapi_rec;         10;      10000;       8.579e+11;          13.535;          19.252;          14.763;           1.011 ( 6.851 %)
  rapi_ite;         10;      10000;       1.095e+12;           7.334;           9.197;           7.816;           0.522 ( 6.678 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.060e+27;           6.178;          18.911;           9.165;           3.030 (33.062 %)
  naif_ite;         10;      10000;       5.608e+17;           5.407;          13.634;           7.165;           1.851 (25.838 %)
  rapi_rec;         10;      10000;       1.924e+12;          13.505;          19.148;          15.262;           0.829 ( 5.435 %)
  rapi_ite;         10;      10000;       2.129e+12;           7.335;           8.626;           7.647;           0.354 ( 4.631 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.073e+11;           6.176;           7.731;           6.330;           0.388 ( 6.127 %)
  naif_ite;         10;      10000;       5.962e+11;           5.405;           6.179;           5.482;           0.193 ( 3.529 %)
  rapi_rec;         10;      10000;       4.966e+13;          13.536;          20.351;          15.056;           1.442 ( 9.581 %)
  rapi_ite;         10;      10000;       9.118e+20;           7.334;           8.510;           7.411;           0.258 ( 3.480 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.125e+09;           6.176;           8.258;           6.731;           0.548 ( 8.134 %)
  naif_ite;         10;      10000;       3.456e+12;           5.405;          14.506;           5.849;           1.818 (31.092 %)
  rapi_rec;         10;      10000;       1.901e+07;          13.533;          15.144;          13.725;           0.516 ( 3.758 %)
  rapi_ite;         10;      10000;       1.699e+23;           7.332;           9.038;           7.405;           0.303 ( 4.086 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.212e+21;           6.177;           9.888;           6.500;           0.758 (11.664 %)
  naif_ite;         10;      10000;       4.043e+10;           5.791;           6.190;           5.827;           0.109 ( 1.876 %)
  rapi_rec;         10;      10000;       2.872e+16;          13.502;          16.264;          14.551;           0.842 ( 5.784 %)
  rapi_ite;         10;      10000;       6.379e+12;           7.336;          18.904;           9.896;           3.192 (32.255 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.850e+21;           6.177;           6.292;           6.188;           0.028 ( 0.451 %)
  naif_ite;         10;      10000;       2.425e+17;           5.410;          15.183;           7.793;           2.530 (32.462 %)
  rapi_rec;         10;      10000;       7.993e+14;          13.506;          21.900;          15.925;           1.755 (11.018 %)
  rapi_ite;         10;      10000;       5.096e+10;           7.334;           7.348;           7.338;           0.003 ( 0.038 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.867e+26;           6.179;           8.332;           6.402;           0.491 ( 7.667 %)
  naif_ite;         10;      10000;       6.570e+13;           5.408;           6.194;           5.641;           0.217 ( 3.852 %)
  rapi_rec;         10;      10000;       5.452e+25;          15.091;          21.137;          17.313;           1.770 (10.222 %)
  rapi_ite;         10;      10000;       6.230e+19;           7.333;          12.651;           7.892;           1.366 (17.314 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.561e+16;           6.177;           6.207;           6.181;           0.005 ( 0.079 %)
  naif_ite;         10;      10000;       4.552e+18;           5.795;          11.589;           6.670;           1.425 (21.359 %)
  rapi_rec;         10;      10000;       4.516e+14;          13.533;          21.584;          16.257;           2.023 (12.447 %)
  rapi_ite;         10;      10000;       2.437e+19;           7.335;           8.566;           7.552;           0.347 ( 4.596 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.244e+10;           6.176;          12.433;           7.243;           1.922 (26.534 %)
  naif_ite;         10;      10000;       2.930e+12;           6.178;          15.353;           8.889;           3.216 (36.175 %)
  rapi_rec;         10;      10000;       2.912e+19;          13.506;          19.575;          15.550;           1.299 ( 8.354 %)
  rapi_ite;         10;      10000;       2.821e+19;           7.335;           9.677;           7.892;           0.640 ( 8.110 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.512e+28;           6.309;          13.681;           9.200;           2.307 (25.079 %)
  naif_ite;         10;      10000;       3.273e+21;           5.446;          13.078;           6.927;           1.957 (28.249 %)
  rapi_rec;         10;      10000;       5.345e+15;          13.541;          18.495;          15.329;           0.719 ( 4.693 %)
  rapi_ite;         10;      10000;       1.005e+11;           7.334;           9.268;           7.788;           0.442 ( 5.678 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.751e+11;           6.177;           6.460;           6.216;           0.060 ( 0.960 %)
  naif_ite;         10;      10000;       1.955e+10;           5.407;          10.494;           6.422;           1.397 (21.746 %)
  rapi_rec;         10;      10000;       4.191e+19;          13.535;          17.118;          14.106;           0.782 ( 5.546 %)
  rapi_ite;         10;      10000;       4.743e+14;           6.952;          13.462;           8.310;           1.441 (17.344 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.396e+08;           6.179;           8.529;           6.347;           0.495 ( 7.791 %)
  naif_ite;         10;      10000;       1.383e+27;           5.405;          10.492;           6.064;           1.285 (21.191 %)
  rapi_rec;         10;      10000;       2.786e+08;          14.217;          17.285;          15.414;           0.549 ( 3.564 %)
  rapi_ite;         10;      10000;       1.369e+19;           9.321;          22.339;          13.003;           2.983 (22.942 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.377e+13;           6.179;          17.346;          10.627;           2.847 (26.787 %)
  naif_ite;         10;      10000;       5.238e+22;           7.555;          19.725;          11.761;           2.808 (23.872 %)
  rapi_rec;         10;      10000;       3.048e+28;          13.655;          35.678;          18.891;           4.083 (21.614 %)
  rapi_ite;         10;      10000;       5.772e+09;           7.335;          12.101;           8.476;           1.359 (16.038 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.811e+29;           6.179;           9.785;           6.815;           0.918 (13.473 %)
  naif_ite;         10;      10000;       2.164e+10;           5.408;          10.633;           7.305;           1.442 (19.734 %)
  rapi_rec;         10;      10000;       1.508e+14;          13.503;          18.306;          14.723;           1.234 ( 8.382 %)
