           0.007 ( 0.047 %)	           0.114 ( 1.627 %)	           2.130 (24.462 %)	           0.268 ( 3.528 %)	           0.067 ( 0.907 %)
           0.233 ( 1.665 %)	           0.356 ( 5.055 %)	           0.192 ( 2.466 %)	           0.186 ( 2.652 %)	           0.060 ( 0.815 %)
           0.006 ( 0.045 %)	           0.069 ( 0.993 %)	           0.145 ( 1.755 %)	           0.189 ( 2.693 %)	           0.052 ( 0.705 %)
           0.008 ( 0.057 %)	           0.128 ( 1.753 %)	           0.104 ( 1.246 %)	           0.133 ( 1.908 %)	           0.069 ( 0.940 %)
           0.031 ( 0.218 %)	           0.151 ( 2.075 %)	           0.185 ( 2.231 %)	           0.008 ( 0.109 %)	           0.068 ( 0.932 %)
           0.008 ( 0.055 %)	           0.240 ( 3.354 %)	           3.885 (40.901 %)	           0.348 ( 4.787 %)	           0.063 ( 0.855 %)
           0.228 ( 1.631 %)	           0.606 ( 8.584 %)	           3.531 (39.807 %)	           0.341 ( 4.547 %)	           0.512 ( 6.891 %)
           0.229 ( 1.639 %)	           0.273 ( 3.849 %)	           0.156 ( 2.014 %)	           0.089 ( 1.277 %)	           0.065 ( 0.880 %)
           0.071 ( 0.505 %)	           0.194 ( 2.710 %)	           0.007 ( 0.095 %)	           0.120 ( 1.718 %)	           0.063 ( 0.856 %)
           0.454 ( 3.225 %)	           0.018 ( 0.256 %)	           0.147 ( 1.773 %)	           0.272 ( 3.578 %)	           0.048 ( 0.648 %)
           0.455 ( 3.256 %)	           0.119 ( 1.702 %)	           0.524 ( 6.272 %)	           0.002 ( 0.030 %)	           0.062 ( 0.846 %)
           0.761 ( 5.424 %)	           0.387 ( 5.298 %)	           0.602 ( 7.419 %)	           0.379 ( 5.214 %)	           0.002 ( 0.028 %)
           0.229 ( 1.636 %)	           0.095 ( 1.366 %)	           0.178 ( 2.289 %)	           0.380 ( 5.216 %)	           0.066 ( 0.900 %)
           0.005 ( 0.038 %)	           1.021 (13.988 %)	           0.180 ( 2.313 %)	           0.166 ( 2.358 %)	           0.102 ( 1.394 %)
           0.064 ( 0.453 %)	           0.069 ( 0.996 %)	           0.103 ( 1.333 %)	           0.002 ( 0.023 %)	           0.050 ( 0.686 %)
           0.032 ( 0.226 %)	           0.794 (11.209 %)	           0.074 ( 0.895 %)	           0.373 ( 5.139 %)	           0.063 ( 0.860 %)
           0.006 ( 0.045 %)	           0.180 ( 2.551 %)	           0.682 ( 8.291 %)	           0.495 ( 6.906 %)	           0.065 ( 0.881 %)
