     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          33.910;          77.617;          78.031;          77.658;           0.102 ( 0.132 %);     98.244
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          98.244;          14.077;          14.116;          14.095;           0.009 ( 0.061 %);    541.277
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   496307033.506;          54.368;          57.800;          54.835;           0.616 ( 1.124 %);    139.133
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        5655.205;          25.911;          29.323;          26.242;           0.568 ( 2.166 %);    290.731
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;        2429.035;          77.605;          78.136;          77.664;           0.132 ( 0.170 %);     98.236
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000; 26465418084.480;          14.077;          14.106;          14.092;           0.007 ( 0.050 %);    541.408
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   496019460.995;          54.666;          57.427;          54.967;           0.492 ( 0.895 %);    138.798
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         373.917;          25.928;          26.607;          26.135;           0.102 ( 0.390 %);    291.921
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;     4911501.609;          77.613;          78.014;          77.676;           0.092 ( 0.119 %);     98.221
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         399.302;          14.079;          14.107;          14.097;           0.007 ( 0.048 %);    541.216
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   495732071.761;          54.664;          56.806;          54.886;           0.430 ( 0.784 %);    139.003
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          44.264;          25.910;          26.355;          26.130;           0.076 ( 0.293 %);    291.978
