     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.586e+20;          30.848;          34.299;          31.016;           0.626 ( 2.018 %)
  naif_ite;         10;      10000;       4.882e+13;           4.249;           4.257;           4.251;           0.002 ( 0.040 %)
  rapi_rec;         10;      10000;       7.742e+19;          11.572;          15.280;          11.727;           0.676 ( 5.767 %)
  rapi_ite;         10;      10000;       8.492e+28;           7.722;           8.330;           8.291;           0.145 ( 1.755 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.527e+14;          30.848;          40.419;          31.342;           1.928 ( 6.152 %)
  naif_ite;         10;      10000;       4.589e+20;           4.247;           4.262;           4.249;           0.003 ( 0.070 %)
  rapi_rec;         10;      10000;       4.723e+14;          11.572;          11.586;          11.574;           0.003 ( 0.023 %)
  rapi_ite;         10;      10000;       1.621e+21;           7.718;           8.326;           7.865;           0.223 ( 2.836 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.932e+15;          30.847;          34.412;          30.966;           0.621 ( 2.005 %)
  naif_ite;         10;      10000;       2.691e+09;           4.633;           4.644;           4.637;           0.002 ( 0.042 %)
  rapi_rec;         10;      10000;       5.681e+11;          11.572;          11.579;          11.574;           0.002 ( 0.014 %)
  rapi_ite;         10;      10000;       9.488e+23;           8.106;           8.330;           8.314;           0.054 ( 0.648 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.740e+15;          30.847;          38.834;          31.792;           2.037 ( 6.407 %)
  naif_ite;         10;      10000;       2.939e+14;           4.250;           5.326;           4.390;           0.242 ( 5.506 %)
  rapi_rec;         10;      10000;       6.887e+13;          11.571;          14.226;          11.681;           0.481 ( 4.122 %)
  rapi_ite;         10;      10000;       4.297e+31;           7.718;           8.713;           8.048;           0.220 ( 2.738 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.049e+28;          30.847;          36.740;          31.244;           1.182 ( 3.784 %)
  naif_ite;         10;      10000;       1.029e+17;           4.635;           5.030;           4.684;           0.128 ( 2.742 %)
  rapi_rec;         10;      10000;       5.642e+10;          11.572;          11.578;          11.574;           0.002 ( 0.013 %)
  rapi_ite;         10;      10000;       3.511e+17;           7.719;           8.118;           7.767;           0.064 ( 0.820 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.232e+22;          30.847;          36.636;          31.236;           1.397 ( 4.472 %)
  naif_ite;         10;      10000;       7.851e+10;           5.018;           5.030;           5.021;           0.003 ( 0.059 %)
  rapi_rec;         10;      10000;       2.654e+23;          11.572;          11.581;          11.574;           0.002 ( 0.016 %)
  rapi_ite;         10;      10000;       2.111e+12;           7.717;           7.976;           7.759;           0.041 ( 0.525 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.717e+18;          30.847;          35.305;          31.035;           0.804 ( 2.591 %)
  naif_ite;         10;      10000;       1.090e+12;           4.246;           4.286;           4.249;           0.007 ( 0.158 %)
  rapi_rec;         10;      10000;       1.971e+24;          11.573;          11.878;          11.584;           0.053 ( 0.456 %)
  rapi_ite;         10;      10000;       2.638e+10;           7.718;           8.327;           8.270;           0.176 ( 2.124 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.707e+12;          30.847;          34.159;          30.959;           0.577 ( 1.864 %)
  naif_ite;         10;      10000;       7.285e+11;           4.246;           4.260;           4.248;           0.002 ( 0.058 %)
  rapi_rec;         10;      10000;       4.348e+17;          11.572;          11.581;          11.574;           0.002 ( 0.016 %)
  rapi_ite;         10;      10000;       3.677e+15;           7.720;           8.330;           8.232;           0.203 ( 2.463 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.539e+17;          30.847;          42.373;          31.813;           2.579 ( 8.107 %)
  naif_ite;         10;      10000;       8.892e+19;           4.249;           4.293;           4.252;           0.007 ( 0.175 %)
  rapi_rec;         10;      10000;       4.001e+10;          11.572;          11.579;          11.574;           0.002 ( 0.014 %)
  rapi_ite;         10;      10000;       6.037e+09;           7.717;           7.805;           7.757;           0.013 ( 0.167 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.810e+16;          30.847;          39.839;          31.313;           1.658 ( 5.296 %)
  naif_ite;         10;      10000;       1.407e+22;           4.635;           4.644;           4.637;           0.002 ( 0.040 %)
  rapi_rec;         10;      10000;       4.963e+21;          11.572;          16.485;          11.853;           1.074 ( 9.057 %)
  rapi_ite;         10;      10000;       1.238e+14;           7.721;           8.326;           7.885;           0.235 ( 2.985 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.102e+08;          30.847;          35.844;          31.126;           0.892 ( 2.865 %)
  naif_ite;         10;      10000;       1.799e+08;           4.249;           5.105;           4.324;           0.214 ( 4.938 %)
  rapi_rec;         10;      10000;       7.936e+18;          11.572;          12.249;          11.611;           0.151 ( 1.296 %)
  rapi_ite;         10;      10000;       9.407e+12;           7.717;           8.330;           8.238;           0.218 ( 2.645 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.925e+10;          30.847;          34.162;          31.104;           0.739 ( 2.376 %)
  naif_ite;         10;      10000;       1.033e+12;           4.250;           4.279;           4.257;           0.008 ( 0.187 %)
  rapi_rec;         10;      10000;       3.584e+16;          11.572;          12.172;          11.606;           0.111 ( 0.958 %)
  rapi_ite;         10;      10000;       8.491e+18;           7.719;           8.330;           7.846;           0.186 ( 2.370 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.187e+12;          30.848;          34.522;          30.991;           0.648 ( 2.090 %)
  naif_ite;         10;      10000;       1.423e+15;           4.247;           5.028;           4.272;           0.136 ( 3.176 %)
  rapi_rec;         10;      10000;       8.118e+18;          11.572;          11.578;          11.574;           0.002 ( 0.013 %)
  rapi_ite;         10;      10000;       1.682e+14;           7.716;          13.045;           8.284;           0.891 (10.753 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.111e+22;          30.847;          33.865;          31.047;           0.634 ( 2.043 %)
  naif_ite;         10;      10000;       2.254e+09;           4.247;           4.407;           4.259;           0.029 ( 0.685 %)
  rapi_rec;         10;      10000;       1.131e+21;          11.572;          11.604;          11.575;           0.006 ( 0.050 %)
  rapi_ite;         10;      10000;       2.446e+17;           7.720;           8.324;           7.883;           0.229 ( 2.899 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.708e+08;          30.848;          36.152;          32.604;           1.779 ( 5.456 %)
  naif_ite;         10;      10000;       2.462e+22;           4.248;           9.154;           4.966;           1.362 (27.432 %)
  rapi_rec;         10;      10000;       2.006e+19;          11.575;          17.601;          12.087;           1.227 (10.155 %)
  rapi_ite;         10;      10000;       6.645e+15;           7.719;          13.912;           8.543;           1.274 (14.914 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.375e+18;          30.848;          35.997;          31.084;           0.894 ( 2.876 %)
  naif_ite;         10;      10000;       8.547e+17;           4.247;           7.349;           4.402;           0.538 (12.223 %)
  rapi_rec;         10;      10000;       9.709e+10;          11.573;          13.956;          11.674;           0.413 ( 3.535 %)
  rapi_ite;         10;      10000;       6.543e+18;           7.734;          10.409;           8.140;           0.455 ( 5.587 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.177e+27;          30.848;          38.822;          31.425;           1.562 ( 4.972 %)
  naif_ite;         10;      10000;       1.526e+12;           4.247;           6.278;           4.521;           0.537 (11.882 %)
  rapi_rec;         10;      10000;       6.052e+22;          11.573;          11.800;          11.611;           0.050 ( 0.430 %)
  rapi_ite;         10;      10000;       2.602e+12;           7.732;           8.923;           8.120;           0.280 ( 3.454 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.274e+14;          30.847;          32.992;          30.945;           0.389 ( 1.256 %)
  naif_ite;         10;      10000;       4.651e+16;           4.247;          10.234;           4.431;           1.042 (23.510 %)
  rapi_rec;         10;      10000;       3.814e+17;          11.572;          11.582;          11.574;           0.002 ( 0.017 %)
  rapi_ite;         10;      10000;       1.617e+14;           7.718;           8.333;           8.272;           0.176 ( 2.129 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.516e+14;          30.847;          37.341;          31.082;           1.142 ( 3.673 %)
  naif_ite;         10;      10000;       5.208e+21;           4.643;           5.293;           5.016;           0.082 ( 1.641 %)
  rapi_rec;         10;      10000;       1.593e+12;          11.572;          11.578;          11.574;           0.002 ( 0.013 %)
  rapi_ite;         10;      10000;       1.204e+14;           7.718;           8.729;           8.282;           0.193 ( 2.326 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.528e+17;          30.847;          35.740;          31.009;           0.852 ( 2.747 %)
  naif_ite;         10;      10000;       3.482e+14;           4.250;           4.260;           4.252;           0.002 ( 0.045 %)
  rapi_rec;         10;      10000;       6.716e+06;          11.573;          11.580;          11.575;           0.002 ( 0.014 %)
  rapi_ite;         10;      10000;       3.110e+11;           7.722;           8.333;           8.291;           0.147 ( 1.769 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.036e+25;          30.847;          35.118;          30.998;           0.744 ( 2.400 %)
  naif_ite;         10;      10000;       1.334e+16;           4.247;           4.399;           4.254;           0.026 ( 0.615 %)
  rapi_rec;         10;      10000;       6.140e+17;          11.573;          14.569;          11.765;           0.596 ( 5.066 %)
  rapi_ite;         10;      10000;       1.030e+12;           7.717;           8.319;           7.999;           0.212 ( 2.646 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.430e+14;          30.847;          31.699;          31.045;           0.245 ( 0.790 %)
  naif_ite;         10;      10000;       1.688e+14;           4.247;           4.434;           4.271;           0.042 ( 0.987 %)
  rapi_rec;         10;      10000;       3.970e+26;          11.575;          11.738;          11.620;           0.044 ( 0.376 %)
  rapi_ite;         10;      10000;       1.345e+11;           7.722;           8.336;           8.065;           0.177 ( 2.194 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.166e+13;          30.847;          39.193;          31.182;           1.454 ( 4.664 %)
  naif_ite;         10;      10000;       1.920e+12;           4.635;           4.646;           4.637;           0.002 ( 0.048 %)
  rapi_rec;         10;      10000;       5.749e+14;          11.572;          11.586;          11.574;           0.003 ( 0.022 %)
  rapi_ite;         10;      10000;       1.460e+10;           7.721;           8.335;           8.276;           0.177 ( 2.142 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.072e+23;          30.847;          39.041;          31.396;           1.612 ( 5.135 %)
  naif_ite;         10;      10000;       1.417e+18;           4.248;           4.263;           4.250;           0.003 ( 0.063 %)
  rapi_rec;         10;      10000;       9.045e+10;          11.572;          11.579;          11.574;           0.002 ( 0.016 %)
  rapi_ite;         10;      10000;       6.192e+23;           7.720;           8.343;           8.101;           0.080 ( 0.986 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.748e+18;          30.848;          31.812;          30.942;           0.263 ( 0.849 %)
  naif_ite;         10;      10000;       9.241e+10;           4.248;           4.261;           4.250;           0.002 ( 0.052 %)
  rapi_rec;         10;      10000;       2.944e+12;          11.572;          11.578;          11.574;           0.002 ( 0.013 %)
  rapi_ite;         10;      10000;       5.816e+31;           7.719;          11.567;           8.307;           0.631 ( 7.594 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.345e+15;          30.846;          34.127;          30.959;           0.571 ( 1.845 %)
  naif_ite;         10;      10000;       1.051e+20;           4.248;           5.024;           4.273;           0.135 ( 3.155 %)
  rapi_rec;         10;      10000;       1.954e+14;          11.572;          11.582;          11.574;           0.002 ( 0.017 %)
  rapi_ite;         10;      10000;       2.325e+13;           7.717;           8.331;           8.253;           0.201 ( 2.430 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.494e+14;          30.847;          34.178;          30.984;           0.586 ( 1.893 %)
  naif_ite;         10;      10000;       2.888e+14;           4.249;           4.263;           4.252;           0.002 ( 0.058 %)
  rapi_rec;         10;      10000;       5.703e+10;          11.571;          13.474;          11.644;           0.337 ( 2.890 %)
  rapi_ite;         10;      10000;       6.938e+15;           7.719;           8.332;           8.272;           0.176 ( 2.125 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
