     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.866e+12;           6.175;           6.206;           6.176;           0.005 ( 0.088 %)
  naif_ite;         10;      10000;       3.773e+16;           5.792;           5.804;           5.793;           0.002 ( 0.042 %)
  rapi_rec;         10;      10000;       1.810e+10;           9.681;          13.393;          10.168;           0.770 ( 7.574 %)
  rapi_ite;         10;      10000;       5.947e+19;           6.951;           7.368;           6.992;           0.096 ( 1.366 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.896e+18;           6.175;           6.211;           6.176;           0.006 ( 0.100 %)
  naif_ite;         10;      10000;       6.109e+12;           5.790;           5.929;           5.795;           0.024 ( 0.416 %)
  rapi_rec;         10;      10000;       1.746e+12;           9.647;          10.419;           9.684;           0.151 ( 1.562 %)
  rapi_ite;         10;      10000;       4.098e+19;           6.947;           9.095;           7.163;           0.399 ( 5.564 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.541e+18;           6.176;           6.204;           6.177;           0.005 ( 0.079 %)
  naif_ite;         10;      10000;       1.920e+21;           5.791;           5.802;           5.793;           0.002 ( 0.032 %)
  rapi_rec;         10;      10000;       3.346e+10;           9.683;          10.464;           9.779;           0.257 ( 2.626 %)
  rapi_ite;         10;      10000;       4.150e+11;           6.946;           7.342;           6.971;           0.095 ( 1.359 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.889e+12;           6.175;           6.209;           6.176;           0.006 ( 0.097 %)
  naif_ite;         10;      10000;       1.147e+28;           5.790;           5.804;           5.792;           0.002 ( 0.041 %)
  rapi_rec;         10;      10000;       3.286e+14;           9.647;          13.890;           9.837;           0.755 ( 7.676 %)
  rapi_ite;         10;      10000;       1.165e+17;           6.950;           6.979;           6.968;           0.004 ( 0.055 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.486e+11;           6.174;           6.206;           6.176;           0.005 ( 0.087 %)
  naif_ite;         10;      10000;       6.507e+21;           5.790;           5.933;           5.795;           0.025 ( 0.426 %)
  rapi_rec;         10;      10000;       1.866e+16;          10.051;          14.432;          10.354;           0.754 ( 7.279 %)
  rapi_ite;         10;      10000;       8.623e+11;           6.947;           6.972;           6.961;           0.011 ( 0.154 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.097e+18;           6.176;           6.205;           6.177;           0.005 ( 0.081 %)
  naif_ite;         10;      10000;       1.093e+11;           5.790;           5.799;           5.792;           0.002 ( 0.035 %)
  rapi_rec;         10;      10000;       7.920e+14;           9.647;          14.172;          10.572;           0.800 ( 7.572 %)
  rapi_ite;         10;      10000;       5.469e+27;           6.948;           7.343;           7.009;           0.139 ( 1.983 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.103e+14;           6.175;           6.209;           6.176;           0.006 ( 0.099 %)
  naif_ite;         10;      10000;       1.418e+15;           5.790;           5.807;           5.791;           0.003 ( 0.052 %)
  rapi_rec;         10;      10000;       3.777e+12;           9.647;          13.693;           9.968;           0.818 ( 8.206 %)
  rapi_ite;         10;      10000;       1.027e+11;           6.953;           6.972;           6.969;           0.004 ( 0.062 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.196e+14;           6.175;           6.210;           6.176;           0.006 ( 0.099 %)
  naif_ite;         10;      10000;       6.827e+10;           5.791;           5.807;           5.793;           0.003 ( 0.045 %)
  rapi_rec;         10;      10000;       3.560e+10;          10.416;          14.237;          10.537;           0.665 ( 6.307 %)
  rapi_ite;         10;      10000;       4.305e+08;           6.947;           7.277;           6.960;           0.057 ( 0.820 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.571e+20;           6.175;           6.209;           6.176;           0.006 ( 0.094 %)
  naif_ite;         10;      10000;       1.731e+16;           5.788;           6.396;           5.914;           0.195 ( 3.290 %)
  rapi_rec;         10;      10000;       2.690e+14;           9.651;          13.592;          10.507;           0.575 ( 5.476 %)
  rapi_ite;         10;      10000;       3.369e+14;           6.949;           7.519;           7.083;           0.192 ( 2.714 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.510e+16;           6.176;           6.209;           6.178;           0.006 ( 0.093 %)
  naif_ite;         10;      10000;       6.573e+19;           5.791;           5.807;           5.793;           0.003 ( 0.046 %)
  rapi_rec;         10;      10000;       1.409e+10;           9.647;          10.423;           9.807;           0.313 ( 3.196 %)
  rapi_ite;         10;      10000;       1.323e+11;           6.946;           6.984;           6.968;           0.007 ( 0.102 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.796e+20;           6.178;           6.952;           6.690;           0.365 ( 5.461 %)
  naif_ite;         10;      10000;       1.029e+16;           5.791;           5.804;           5.793;           0.002 ( 0.038 %)
  rapi_rec;         10;      10000;       2.911e+15;          10.416;          11.153;          10.458;           0.160 ( 1.532 %)
  rapi_ite;         10;      10000;       2.683e+12;           6.950;           7.639;           7.335;           0.112 ( 1.527 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.603e+22;           6.174;           6.762;           6.194;           0.102 ( 1.649 %)
  naif_ite;         10;      10000;       3.602e+16;           5.790;           6.115;           5.805;           0.061 ( 1.057 %)
  rapi_rec;         10;      10000;       1.112e+10;           9.696;          11.150;          10.008;           0.303 ( 3.023 %)
